"CZ0002000565","HZL KB VAR/15     ","BDXKOMB ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/02","1","2","C"
"CZ0002000623","HZL ČS 4,75/15    ","BDNCSPO ","2010/09/24",113.36         ,.00      ,113.36         ,113.36         ,113.36         ,0            ,.00                ,"2009/11/11","1","2","C"
"CZ0002000649","HZL HVB 4,50/15   ","BDDVERBA","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/17","1","2","C"
"CZ0002000656","HZL ČMHB VAR/15   ","BDTREGI ","2010/09/24",109.20         ,.00      ,109.20         ,109.20         ,109.20         ,0            ,.00                ,"2007/12/13","1","2","C"
"CZ0002000664","HZL KB 4,40/15    ","BDYKOMB ","2010/09/24",106.00         ,.00      ,106.00         ,106.00         ,106.00         ,0            ,.00                ,"2008/10/09","1","2","C"
"CZ0002000672","HZL HVB 3,50/10   ","BDEVERBA","2010/09/24",101.10         ,.00      ,101.10         ,101.10         ,101.10         ,0            ,.00                ,"2010/08/16","1","2","C"
"CZ0002000680","HZL HVB 5,00/25   ","BDFVERBA","2010/09/24",113.00         ,.00      ,113.00         ,113.00         ,113.00         ,0            ,.00                ,"2008/12/10","1","2","C"
"CZ0002000698","HZL RBCZ 4,50/10  ","BDERZBC ","2010/09/24",105.63         ,.00      ,105.63         ,105.63         ,105.63         ,0            ,.00                ,"2010/08/19","1","2","C"
"CZ0002000755","HZL ČS 4,80/16    ","BDRCSPO ","2010/09/24",111.79         ,.00      ,111.79         ,111.79         ,111.79         ,0            ,.00                ,"2008/12/04","1","2","C"
"CZ0002000797","HZL HB 4,60/11    ","BDVREGI ","2010/09/24",106.30         ,.00      ,106.30         ,106.30         ,106.30         ,0            ,.00                ,"2009/01/30","1","2","C"
"CZ0002000805","HZL RBCZ 4,70/11  ","BDFRZBC ","2010/09/24",105.90         ,.00      ,105.90         ,105.90         ,105.90         ,0            ,.00                ,"2010/07/15","1","2","C"
"CZ0002000862","HZL HB 4,70/11    ","BDYREGI ","2010/09/24",102.40         ,.00      ,102.40         ,102.40         ,105.05         ,0            ,.00                ,"2010/08/24","1","2","C"
"CZ0002000888","HZL RBCZ 4,40/11  ","BDGRZBC ","2010/09/24",101.15         ,.00      ,101.15         ,101.15         ,101.15         ,0            ,.00                ,"2010/08/25","1","2","C"
